číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13211,13211,Výrobní a techničtí náměstci (ředitelé) v průmyslové výrobě,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13212,13212,Řídící pracovníci ve zpracovatelském průmyslu,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13213,13213,Řídící pracovníci v energetice,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13214,13214,Řídící pracovníci v oblasti úpravy a rozvodu vody,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13215,13215,Řídící pracovníci v oblasti odpadů a sanací,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13221,13221,Výrobní a techničtí náměstci (ředitelé) v těžbě,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13222,13222,Řídící pracovníci v těžbě,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13223,13223,Řídící pracovníci v geologii,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13231,13231,Výrobní a investiční náměstci (ředitelé) ve stavebnictví,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5,Klasifikace zaměstnání (CZ-ISCO) - úroveň 5 - Kategorie,,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-zaměstnání-cz-isco-5/položky/13232,13232,Hlavní stavbyvedoucí,
