číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10302,10302,"Condensed matter physics (including formerly solid state physics, supercond.)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10303,10303,Particles and field physics,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10304,10304,Nuclear physics,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10305,10305,Fluids and plasma physics (including surface physics),https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10306,10306,"Optics (including laser optics and
quantum optics)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10307,10307,Acoustics,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10308,10308,"Astronomy (including astrophysics,
space science)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10300
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10401,10401,Organic chemistry,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10402,10402,Inorganic and nuclear chemistry,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10403,10403,Physical chemistry,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10404,10404,Polymer science,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
